Amino Acid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
M,87.81090909090909,204.0581818181818,349.36727272727273,504.3636363636364,596.3927272727273,882.1672727272727,916.0727272727272,1240.5963636363635,1274.501818181818,1434.341818181818,1758.8654545454544,1986.5163636363636,2553.221818181818,2868.058181818182,3187.7381818181816,3468.6690909090908,3613.978181818182,3681.789090909091,3836.7854545454547,4108.02909090909,4514.894545454546,4611.767272727273,4742.545454545454,4800.669090909091,4892.698181818183,5212.3781818181815,5391.592727272727,5614.400000000001,5769.396363636364,6069.7018181818175,6152.043636363636,6374.850909090908,6481.41090909091,6650.938181818182,6660.625454545455,6742.967272727273,6810.778181818182,7203.112727272727,7275.767272727273,7309.672727272728,7343.578181818182,8142.778181818182,8917.76,14710.749090909092,14759.185454545453,14793.090909090908,14802.778181818183,15074.021818181818,15161.207272727273,15195.112727272726,15287.141818181819,16963.04,17365.06181818182,18169.105454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,87.81090909090909,145.93454545454546,470.45818181818174,751.3890909090909,1017.789090909091,1172.7854545454545,1419.810909090909,1594.181818181818,1846.050909090909,2073.701818181818,2451.5054545454545,2664.6254545454544,2834.1527272727276,2989.149090909091,3129.6145454545454,3391.170909090909,3681.789090909091,4117.716363636364,4267.869090909091,4461.614545454546,4476.145454545454,5071.912727272726,5275.345454545454,5454.56,5633.774545454546,5900.174545454545,6118.138181818182,6273.134545454545,6587.970909090908,6636.407272727272,6791.403636363636,6999.68,7149.832727272727,7895.7527272727275,8099.185454545456,8670.734545454545,8971.04,14734.967272727274,14938.400000000001,15011.054545454544,16938.82181818182,17374.74909090909,17476.465454545454,18159.418181818182,18203.010909090906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,121.71636363636364,291.24363636363637,988.7272727272727,1322.9381818181816,1468.2472727272727,2044.6399999999999,2684.0,2838.9963636363636,3042.429090909091,3115.0836363636363,3546.1672727272726,3894.909090909091,4137.09090909091,4330.836363636363,4514.894545454546,4534.269090909091,4732.858181818182,4820.043636363636,5270.501818181819,5348.0,5488.465454545455,5706.4290909090905,5812.989090909091,5948.610909090909,6142.356363636364,6200.4800000000005,6403.912727272727,6476.567272727272,6554.065454545454,6728.436363636363,6897.963636363636,7004.523636363637,7285.454545454546,7372.64,7469.512727272728,8971.04,14255.447272727273,14381.381818181817,14894.807272727274,14933.556363636364,14957.774545454546,15141.832727272727,15243.549090909091,17277.876363636362,18193.323636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,150.77818181818182,189.52727272727273,359.05454545454546,441.3963636363636,601.2363636363636,775.6072727272727,1095.2872727272727,1216.3781818181817,1318.0945454545454,1589.3381818181817,1875.1127272727272,2107.6072727272726,2582.2836363636366,2645.2509090909093,2887.4327272727273,3008.5236363636363,3066.6472727272726,3386.327272727273,3730.2254545454543,3827.0981818181813,4035.374545454546,4112.8727272727265,4379.272727272727,4640.829090909091,5096.130909090909,5188.16,5338.312727272727,5357.687272727272,5595.0254545454545,5808.145454545454,6074.545454545455,6152.043636363636,6370.007272727273,6510.472727272727,6641.25090909091,6670.312727272727,6868.901818181818,6951.243636363636,7198.269090909092,7314.516363636364,7890.909090909091,8045.905454545455,8748.232727272727,8990.414545454545,14696.218181818182,14797.934545454546,14899.650909090908,14923.869090909087,15098.239999999998,16982.414545454543,17437.716363636362,17481.30909090909,18169.105454545454,18207.854545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,141.0909090909091,213.74545454545455,271.8690909090909,373.5854545454545,475.3018181818182,547.9563636363636,848.2618181818182,935.4472727272728,1027.4763636363637,1250.2836363636363,1555.4327272727273,1763.709090909091,2030.1090909090906,2107.6072727272726,2160.8872727272724,2601.658181818182,2737.28,2960.0872727272726,3124.770909090909,3323.36,3439.6072727272726,3517.1054545454544,3953.0327272727272,4011.156363636364,4272.7127272727275,4359.898181818182,4471.301818181818,4573.018181818182,4863.636363636364,4989.570909090909,5159.098181818182,5488.465454545455,5570.807272727272,5638.618181818181,5866.269090909091,6055.17090909091,6089.0763636363645,6195.636363636363,6292.509090909091,6355.476363636363,6675.1563636363635,6728.436363636363,6927.025454545454,6989.992727272727,7086.865454545454,7232.174545454546,7396.858181818183,7580.916363636364,7585.759999999999,7672.945454545455,7876.378181818182,7929.658181818182,7939.345454545456,8070.123636363636,8636.82909090909,8825.73090909091,9251.97090909091,9833.207272727273,15345.265454545453,15408.232727272727,15485.73090909091,15621.352727272728,15669.78909090909,15708.538181818183,15810.254545454545,18164.261818181818,18256.29090909091,18435.505454545455,18566.283636363634,18624.407272727272,18982.83636363636,20000.0,0.0,0.0
S,208.14543552184148,553.0787339785509,1044.3473711744705,1096.6099921527598,1410.1857180224954,1540.8422704682189,1843.9654721422964,2403.175516609992,2742.8825529688725,3166.209782893016,3281.187549045252,4028.5430290347895,4174.878367773999,4619.110646089459,5136.510593774523,5413.502484959456,5758.435783416166,5821.150928590113,6019.748888307612,6432.6235940360975,6594.6377190687945,7038.869997384253,7227.015432906094,7310.635626471358,7368.124509547476,7524.912372482344,7974.3709128956325,8753.083965472142,9646.77478420089,15526.319644258434,15594.261051530213,16388.65289040021,18275.333507716456,18719.56578603191,19639.3879152498,19916.379806434736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,286.53936698927544,521.7211613915773,1107.0625163484174,1237.7190687941409,1410.1857180224954,1650.593774522626,1713.3089196965734,1922.3594036097302,2115.7311012294012,2507.7007585665706,2586.0946900340045,2873.5391054145957,3019.874444153806,3375.2602668061736,3772.456186241172,4399.607637980644,4561.621763013341,4760.21972273084,5037.211613915773,5648.684279361758,5727.078210829191,5962.260005231494,5993.617577818467,6207.894323829453,6469.2074287209,6720.068009416688,6845.498299764583,7017.964948992938,7237.467957101752,7294.956840177871,7383.803295840962,7655.568924928067,7916.882029819514,7922.108291917342,8643.332461417735,9646.77478420089,15421.794402301857,15630.844886215014,15970.551922573895,16357.295317813237,16519.309442845934,18405.990060162178,18918.16374574941,19597.577818467173,19921.606068532565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,249.95553230447294,370.1595605545383,892.7857703374314,1117.5150405440752,1185.4564478158513,1331.7917865550614,1504.258435783416,1791.7028511640074,1880.5493068270991,2042.5634318597959,2241.1613915772955,2784.692649751504,3213.246141773476,3317.771383730055,4002.411718545645,4295.082396024065,4399.607637980644,4713.1833638503795,4880.4237509809045,5000.62777923097,5105.15302118755,5685.26811404656,5852.508501177086,5899.544860057546,6197.441799633795,6254.9306827099135,6521.470049699189,6793.235678786294,7122.490190949517,7138.168977243003,7221.789170808266,7394.25582003662,7456.970965210568,7535.364896678002,7854.166884645567,7895.976981428198,7953.4658645043155,7990.049699189119,8674.690034004709,9704.263667277008,15824.216583834685,15886.931729008631,15928.741825791265,16111.660999215275,16242.317551661,16278.901386345804,16305.03269683495,16357.295317813237,18332.82239079257,18839.769814281975,19634.161653151976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,145.43029034789433,229.0504839131572,281.3131048914465,385.83834684802514,918.917080826576,1039.1211090766415,1201.1352341093382,1232.4928066963118,1535.6160083703896,1650.593774522626,1734.213968087889,2105.278577033743,2131.409887522888,2293.4240125555843,2444.9856133926237,2638.357311012294,2904.8966780015694,2988.516871566832,3087.815851425582,3129.6259482082132,3307.3188595343972,3432.7491498822915,3845.623855610777,3971.054145958671,4054.674339523934,4101.710698404395,4206.2359403609735,4498.906617839394,4519.811666230709,4629.563170285116,4666.147004969918,4869.971226785247,4953.59142035051,5094.700496991891,5319.429767198535,5460.538843839917,5680.041851948731,5836.829714883599,5925.676170546691,6051.106460894585,6108.595343970704,6176.53675124248,6265.383206905572,6552.827622286162,6646.900340047084,6751.425582003662,6855.95082396024,6965.702328014649,7075.453832069056,7174.752811927806,7263.599267590897,7284.504315982213,7530.138634580172,7645.11640073241,7780.999215275961,7838.48809835208,8042.312320167407,8397.698142819774,8538.807219461156,8648.558723515564,8779.215275961287,9667.679832592205,15291.137849856133,16048.945854041329,16294.58017263929,16623.83468480251,16655.192257389484,16707.454878367775,16775.39628563955,17068.06696311797,18311.917342401255,18792.733455401518,19299.680878890922,19623.709128956318
Y,77.48888307611824,187.24038713052576,385.83834684802514,453.7797541198012,840.5231493591419,1237.7190687941409,1399.7331938268376,1451.9958148051269,1702.8563955009156,1786.4765890661783,1859.6442584357835,1906.6806173162438,2230.7088673816374,2267.29270206644,2654.036097305781,2810.823960240649,2983.2906094690034,2998.9693957624904,3333.450170023542,3453.6541982736076,3798.5874967303166,4023.3167669369604,4133.068270991368,4169.65210567617,4295.082396024065,4430.965210567616,4530.264190426366,4754.993460633011,4943.138896154852,5031.985351817944,5068.569186502747,5371.692388176824,5418.728747057286,5700.946900340046,5904.771122155375,6098.142819775046,6281.061993199059,6301.967041590375,6422.1710698404395,6484.886215014386,6568.506408579649,6855.95082396024,6923.8922312320165,7101.5851425582,7164.300287732148,7216.562908710437,7305.409364373529,7467.4234894062265,7760.094166884646,7854.166884645567,8183.421396808789,8617.20115092859,8674.690034004709,8779.215275961287,9641.54852210306,15620.392362019356,15871.252942715146,16325.937745226262,16555.893277530733,16587.250850117707,16775.39628563955,16806.753858226522,18243.97593512948,18698.660737640595,19597.577818467173,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
